Title,Authors,Description,Thumbnail URL
"Learning Object-Oriented Programming","Gaston C. Hillar","Learning Object-Oriented Programming is an easy-to-follow guide full of hands-on examples of solutions to common problems with object-oriented code in Python, JavaScript, and C#. It starts by helping you to recognize objects from real-life scenarios and demonstrates that working with them makes it simpler to write code that is easy to understand and reuse. You will learn to protect and hide data with the data encapsulation features of Python, JavaScript, and C#. You will explore how to maximize code reuse by writing code capable of working with objects of different types, and discover the advantage of duck typing in both Python and JavaScript, while you work with interfaces and generics in C#. With a fair understanding of interfaces, multiple inheritance, and composition, you will move on to refactor existing code and to organize your source for easy maintenance and extension. Learning Object-Oriented Programming will help you to make better, stronger, and reusable code.","http://books.google.com/books/content?id=zicxCgAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Object-Oriented Analysis and Design with Applications","Grady Booch, Robert Maksimchuk, Michael Engle, Jim Conallen, Kelli Houston, Bobbi Young Ph.D.","Object-Oriented Design with Applications has long been the essential reference to object-oriented technology, which, in turn, has evolved to join the mainstream of industrial-strength software development. In this third edition--the first revision in 13 years--readers can learn to apply object-oriented methods using new paradigms such as Java, the Unified Modeling Language (UML) 2.0, and .NET. The authors draw upon their rich and varied experience to offer improved methods for object development and numerous examples that tackle the complex problems faced by software engineers, including systems architecture, data acquisition, cryptoanalysis, control systems, and Web development. They illustrate essential concepts, explain the method, and show successful applications in a variety of fields. You'll also find pragmatic advice on a host of issues, including classification, implementation strategies, and cost-effective project management. New to this new edition are An introduction to the new UML 2.0, from the notation's most fundamental and advanced elements with an emphasis on key changes New domains and contexts A greatly enhanced focus on modeling--as eagerly requested by readers--with five chapters that each delve into one phase of the overall development lifecycle. Fresh approaches to reasoning about complex systems An examination of the conceptual foundation of the widely misunderstood fundamental elements of the object model, such as abstraction, encapsulation, modularity, and hierarchy How to allocate the resources of a team of developers and mange the risks associated with developing complex software systems An appendix on object-oriented programming languages This is the seminal text for anyone who wishes to use object-oriented technology to manage the complexity inherent in many kinds of systems. Sidebars Preface Acknowledgments About the Authors Section I: Concepts Chapter 1: Complexity Chapter 2: The Object Model Chapter 3: Classes and Objects Chapter 4: Classification Section II: Method Chapter 5: Notation Chapter 6: Process Chapter 7: Pragmatics Chapter 8: System Architecture: Satellite-Based Navigation Chapter 9: Control System: Traffic Management Chapter 10: Artificial Intelligence: Cryptanalysis Chapter 11: Data Acquisition: Weather Monitoring Station Chapter 12: Web Application: Vacation Tracking System Appendix A: Object-Oriented Programming Languages Appendix B: Further Reading Notes Glossary Classified Bibliography Index","http://books.google.com/books/content?id=8Rg5wxGj818C&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"C++ and Object-oriented Programming","Kip R. Irvine","""An accessible introduction to the C++ language and object-oriented design for students and programmers who know at least one modern high-level language. Understanding that the greatest challenge in learning C++ is being able to think in terms of classes and objects, Kip Irvine introduces these topics immediately as concepts in the context of real-world applications such as e-mail systems and automated bank tellers."" ""Through extensive use of short program examples and case studies, the author provides a concise, clear discussion of C++ syntax. He includes extensive coverage of the object model concept and how to use an object-oriented approach to design. Throughout the book, the importance of careful analysis and design of programs is evidenced.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved","http://books.google.com/books/content?id=Y0UiAQAAIAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
"Concepts of Object-oriented Programming","David N. Smith","There are many books on object-oriented programming for the professional programmer or designer who wants an in-depth knowledge. This is the first book for people that simply want to know what it is all about. It opens with a description of the differences between the procedural and object-oriented programming approaches. Then presents the basic concepts of object-oriented programming.","http://books.google.com/books/content?id=rZNQAAAAMAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
"Python Object-Oriented Programming","Steven F. Lott, Dusty Phillips","A comprehensive guide to exploring modern Python through data structures, design patterns, and effective object-oriented techniques Key Features Build an intuitive understanding of object-oriented design, from introductory to mature programs Learn the ins and outs of Python syntax, libraries, and best practices Examine a machine-learning case study at the end of each chapter Book Description Object-oriented programming (OOP) is a popular design paradigm in which data and behaviors are encapsulated in such a way that they can be manipulated together. Python Object-Oriented Programming, Fourth Edition dives deep into the various aspects of OOP, Python as an OOP language, common and advanced design patterns, and hands-on data manipulation and testing of more complex OOP systems. These concepts are consolidated by open-ended exercises, as well as a real-world case study at the end of every chapter, newly written for this edition. All example code is now compatible with Python 3.9+ syntax and has been updated with type hints for ease of learning. Steven and Dusty provide a comprehensive, illustrative tour of important OOP concepts, such as inheritance, composition, and polymorphism, and explain how they work together with Python's classes and data structures to facilitate good design. In addition, the book also features an in-depth look at Python's exception handling and how functional programming intersects with OOP. Two very powerful automated testing systems, unittest and pytest, are introduced. The final chapter provides a detailed discussion of Python's concurrent programming ecosystem. By the end of the book, you will have a thorough understanding of how to think about and apply object-oriented principles using Python syntax and be able to confidently create robust and reliable programs. What you will learn Implement objects in Python by creating classes and defining methods Extend class functionality using inheritance Use exceptions to handle unusual situations cleanly Understand when to use object-oriented features, and more importantly, when not to use them Discover several widely used design patterns and how they are implemented in Python Uncover the simplicity of unit and integration testing and understand why they are so important Learn to statically type check your dynamic code Understand concurrency with asyncio and how it speeds up programs Who this book is for If you are new to object-oriented programming techniques, or if you have basic Python skills and wish to learn how and when to correctly apply OOP principles in Python, this is the book for you. Moreover, if you are an object-oriented programmer coming from other languages or seeking a leg up in the new world of Python, you will find this book a useful introduction to Python. Minimal previous experience with Python is necessary.","http://books.google.com/books/content?id=J5Y2EAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Object-oriented Methods","Ian Graham","Filmed work by students of the School of Design, Swinburne University of Technology.","http://books.google.com/books/content?id=KoNQAAAAMAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
"Object-Oriented Programming","Günther Blaschek","Object-oriented programming is a popular buzzword these days. What is the reason for this popularity? Is object-oriented programming the solution to the software crisis or is it just a fad? Is it a simple evolutionary step or a radical change in software methodology? What is the central idea behind object-orien ted design? Are there special applications for which object-oriented program ming is particularly suited? Which object-oriented language should be used? There is no simple answer to these questions. Although object-oriented programming was invented more than twenty years ago, we still cannot claim that we know everything about this programming technique. Many new con cepts have been developed during the past decade, and new applications and implications of object-oriented programming are constantly being discovered. This book can only try to explain the nature of object-oriented program ming in as much detail as possible. It should serve three purposes. First, it is intended as an introduction to the basic concepts of object-oriented program ming. Second, the book describes the concept of prototypes and explains why and how they can improve the way in which object-oriented programs are developed. Third, it introduces the programming language Omega, an object oriented language that was designed with easy, safe and efficient software development in mind.","http://books.google.com/books/content?id=akKqCAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Head First Object-Oriented Analysis and Design","Brett McLaughlin, Gary Pollice, David West","""Head First Object Oriented Analysis and Design is a refreshing look at subject of OOAD. What sets this book apart is its focus on learning. The authors have made the content of OOAD accessible, usable for the practitioner."" Ivar Jacobson, Ivar Jacobson Consulting ""I just finished reading HF OOA&D and I loved it! The thing I liked most about this book was its focus on why we do OOA&D-to write great software!"" Kyle Brown, Distinguished Engineer, IBM ""Hidden behind the funny pictures and crazy fonts is a serious, intelligent, extremely well-crafted presentation of OO Analysis and Design. As I read the book, I felt like I was looking over the shoulder of an expert designer who was explaining to me what issues were important at each step, and why."" Edward Sciore,Associate Professor, Computer Science Department, Boston College Tired of reading Object Oriented Analysis and Design books that only makes sense after you're an expert? You've heard OOA&D can help you write great software every time-software that makes your boss happy, your customers satisfied and gives you more time to do what makes you happy. But how? Head First Object-Oriented Analysis & Design shows you how to analyze, design, and write serious object-oriented software: software that's easy to reuse, maintain, and extend; software that doesn't hurt your head; software that lets you add new features without breaking the old ones. Inside you will learn how to: Use OO principles like encapsulation and delegation to build applications that are flexible Apply the Open-Closed Principle (OCP) and the Single Responsibility Principle (SRP) to promote reuse of your code Leverage the power of design patterns to solve your problems more efficiently Use UML, use cases, and diagrams to ensure that all stakeholders arecommunicating clearly to help you deliver the right software that meets everyone's needs. By exploiting how your brain works, Head First Object-Oriented Analysis & Design compresses the time it takes to learn and retain complex information. Expect to have fun, expect to learn, expect to be writing great software consistently by the time you're finished reading this!","http://books.google.com/books/content?id=YgyODwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Fundamentals of Object-oriented Design in UML","Meilir Page-Jones","With this book, object-oriented developers can hone the skills necessary to create the foundation for quality software: a first-rate design. The book introduces notation, principles, and terminology that developers can use to evaluate their designs and discuss them meaningfully with colleagues. Every developer will appreciate the detailed diagrams, on-point examples, helpful exercises, and troubleshooting techniques.","http://books.google.com/books/content?id=iNAezyMExBkC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Object-Oriented Software","Luiz Fernando Capretz","This is a textbook for a course in object-oriented software engineering at advanced undergraduate and graduate levels, as well as for software engineers. It contains more than 120 exercises of diverse complexity.The book discusses fundamental concepts and terminology on object-oriented software development, assuming little background on software engineering, and emphasizes design and maintenance rather than programming.It also presents up-to-date and easily understood methodologies and puts forward a software life cycle model which explicitly encourages reusability during software development and maintenance.","http://books.google.com/books/content?id=WB-adn3Q2RAC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
